,HISTO_0,HISTO_1,HISTO_5,HISTO_6,HISTO_8,HISTO_10,HISTO_14,HISTO_15,HISTO_16,HISTO_17,HISTO_18,HISTO_NODATA,Vmax,_mean,nightlight_prev,Rainfall,dif_nightlight
9219,0.0,0.0,75.0,0.0,0.0,0.0,20.22058823529412,0.0,0.0,4.779411764705882,0.0,0.0,35.650899580238104,0.7,0.95,36.17604,0.2631578947368421
9220,0.0,0.0,78.515625,0.0,0.0,0.0,11.71875,0.0,0.0,9.765625,0.0,0.0,35.82467667186439,1.4,0.8,3.5430212,-0.7499999999999998
9221,0.0,0.0,91.54411764705883,0.0,0.0,0.0,1.4705882352941175,0.0,0.0,6.985294117647059,0.0,0.0,35.907964956839415,1.4,0.868633662165334,3.5430212,-0.6117266242135648
9222,0.0,0.0,9.558823529411764,0.0,0.0,0.0,25.36764705882353,0.0,0.0,47.05882352941176,18.014705882352942,0.0,36.10081457125637,2.6,13.55,64.12379,0.8081180811808119
9223,0.0,0.0,44.85294117647059,0.0,0.0,0.0,10.294117647058822,0.0,0.0,44.85294117647059,0.0,0.0,36.19129017404808,0.0,8.71534007561313,64.12379,1.0
9224,0.0,0.0,23.161764705882355,0.0,0.0,0.0,4.044117647058823,0.0,0.0,72.79411764705883,0.0,0.0,36.27762787720607,0.0,1.85,64.12379,1.0
9225,0.0,0.0,30.859375,0.0,0.0,6.640625,46.09375,0.0,0.0,16.40625,0.0,0.0,36.28257605609221,0.0,1.36053751041075,64.12379,1.0
9226,0.0,0.0,0.0,0.0,0.0,0.0,83.82352941176471,0.0,0.0,16.176470588235293,0.0,0.0,36.955856621439615,3.35859753763988,9.4,8.08619,0.6427023896127788
9227,0.0,0.0,2.5735294117647056,0.0,0.0,0.0,17.647058823529413,0.0,0.0,68.01470588235294,11.76470588235294,0.0,36.96118339408097,5.24733382944414,7.40595062341052,8.08619,0.2914705894936569
9228,0.0,0.0,14.453125,0.0,0.0,0.0,8.984375,0.0,0.0,76.5625,0.0,0.0,37.054156566725936,22.4246871207873,4.35,8.08619,-4.155100487537311
9229,0.0,0.0,3.6764705882352944,0.0,0.0,0.0,0.7352941176470588,1.8382352941176472,0.0,93.75,0.0,0.0,37.059531095397006,19.1351860488674,8.65,8.08619,-1.2121602368632831
9230,0.0,0.0,9.926470588235293,0.0,0.0,0.0,7.352941176470589,0.0,0.0,82.72058823529412,0.0,0.0,37.15338088172297,10.9282811511011,9.69348900620891,8.08619,-0.12738366382850136
9231,0.0,0.0,8.304498269896193,0.0,0.0,0.34602076124567477,10.726643598615917,12.45674740484429,0.0,3.4602076124567476,0.0,64.70588235294117,36.32754272741699,0.0,0.6,4.1578593,1.0
9232,0.0,0.0,1.8382352941176472,2.2058823529411766,0.0,0.0,10.661764705882353,47.05882352941176,0.0,38.23529411764706,0.0,0.0,35.96440963142117,0.0,0.605472106779137,4.1578593,1.0
9233,0.0,0.0,13.148788927335639,0.0,4.498269896193772,0.0,4.1522491349480966,68.85813148788927,0.0,9.342560553633218,0.0,0.0,35.99018328199188,0.0,0.9,4.1578593,1.0
9234,0.0,0.0,34.602076124567475,0.0,5.190311418685121,0.0,0.0,51.21107266435986,0.0,8.996539792387544,0.0,0.0,35.619491668873245,0.0,0.898511872799904,4.1578593,1.0
9235,0.0,0.0,88.60294117647058,0.0,0.0,0.0,4.044117647058823,0.7352941176470588,0.0,6.61764705882353,0.0,0.0,35.6454666626644,0.0,0.9,4.1578593,1.0
