,id,outage,left,top,right,bottom,HISTO_0,HISTO_1,HISTO_5,HISTO_6,HISTO_8,HISTO_10,HISTO_14,HISTO_15,HISTO_16,HISTO_17,HISTO_18,HISTO_NODATA
13682,116833,27.213501748571762,2163340,-182750,2163840,-183250,0.0,0.0,48.529411764705884,0.0,0.0,0.0,20.22058823529412,0.0,0.0,31.25,0.0,0.0
13683,50851,27.20830949251037,2101840,-94250,2102340,-94750,0.0,0.0,19.485294117647058,0.0,0.0,0.0,2.941176470588235,0.0,0.0,70.95588235294117,6.61764705882353,0.0
13686,100457,27.19269589572692,2147840,-287250,2148340,-287750,0.0,2.2058823529411766,11.029411764705882,22.426470588235293,2.2058823529411766,0.0,19.485294117647058,0.0,0.0,42.64705882352941,0.0,0.0
13687,51272,27.188832671405223,2101840,-304750,2102340,-305250,0.0,17.301038062283737,6.920415224913495,62.629757785467135,0.0,0.0,5.190311418685121,0.0,0.0,7.958477508650519,0.0,0.0
13688,101527,27.181106442746845,2148840,-287250,2149340,-287750,0.0,4.844290657439446,6.228373702422145,40.830449826989614,0.0,0.0,0.0,0.0,0.0,48.09688581314879,0.0,0.0
13689,92053,27.175375903630954,2140340,-97750,2140840,-98250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
13690,120686,27.173913043478255,2166840,-236750,2167340,-237250,0.0,0.7352941176470588,45.220588235294116,22.058823529411764,0.0,0.0,2.2058823529411766,0.7352941176470588,0.0,29.044117647058826,0.0,0.0
13691,64955,27.16763005780347,2114840,-191250,2115340,-191750,0.0,0.0,8.455882352941178,0.0,0.0,0.0,40.80882352941176,0.0,0.0,50.73529411764706,0.0,0.0
13694,62277,27.158835856274216,2112340,-189750,2112840,-190250,0.0,0.0,0.0,11.418685121107266,0.0,0.0,0.0,0.0,0.6920415224913495,87.88927335640139,0.0,0.0
13695,121220,27.1523178807947,2167340,-236250,2167840,-236750,0.0,0.0,0.3676470588235294,2.2058823529411766,0.0,0.0,59.55882352941176,0.0,0.0,37.86764705882353,0.0,0.0
13696,121675,27.146368127475068,2167840,-196250,2168340,-196750,0.0,0.0,2.941176470588235,7.352941176470589,0.0,0.0,1.8382352941176472,0.0,0.0,87.86764705882352,0.0,0.0
13698,67491,27.118644067796616,2117340,-121750,2117840,-122250,0.0,0.0,4.844290657439446,0.0,0.0,0.0,38.75432525951557,3.8062283737024223,0.0,52.595155709342556,0.0,0.0
13700,42356,27.102803738317753,2093840,-126750,2094340,-127250,0.0,0.0,2.2058823529411766,2.2058823529411766,0.0,0.0,0.0,0.0,0.0,68.01470588235294,27.573529411764707,0.0
13701,91521,27.096774193548384,2139840,-99250,2140340,-99750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6920415224913495,0.0,99.30795847750865,0.0,0.0
13702,58407,27.093596059113302,2108840,-127250,2109340,-127750,0.0,0.0,75.0,3.90625,0.0,0.0,0.0,0.0,0.0,21.09375,0.0,0.0
13703,112084,27.091633466135463,2158840,-215750,2159340,-216250,0.0,1.4705882352941175,0.3676470588235294,0.0,0.0,4.044117647058823,91.91176470588235,0.0,0.0,2.2058823529411766,0.0,0.0
13704,30610,27.090301003344475,2082840,-138750,2083340,-139250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
13705,114739,27.07423580786026,2161340,-205750,2161840,-206250,0.0,4.044117647058823,0.0,0.0,0.0,0.3676470588235294,22.794117647058822,0.0,0.0,72.79411764705883,0.0,0.0
13706,122316,27.07013156320205,2168340,-249250,2168840,-249750,0.0,0.0,0.0,0.0,0.0,0.0,58.82352941176471,0.0,0.0,41.17647058823529,0.0,0.0
13707,113654,27.058823529411764,2160340,-198250,2160840,-198750,0.0,3.1141868512110724,5.536332179930796,5.536332179930796,0.0,1.7301038062283738,24.22145328719723,1.384083044982699,0.0,58.47750865051903,0.0,0.0
13708,115793,27.049180327868843,2162340,-197750,2162840,-198250,0.0,0.7352941176470588,11.76470588235294,5.88235294117647,2.941176470588235,2.941176470588235,0.0,4.779411764705882,0.0,70.95588235294117,0.0,0.0
13710,96698,27.027027027027025,2144340,-280250,2144840,-280750,0.0,2.941176470588235,27.941176470588236,4.779411764705882,0.0,0.0,0.7352941176470588,1.8382352941176472,0.0,61.76470588235294,0.0,0.0
13712,92070,27.016168733537672,2140340,-106250,2140840,-106750,0.0,0.0,0.0,0.0,0.0,0.0,3.125,0.0,0.0,96.875,0.0,0.0
13714,110944,26.98265916387188,2157840,-180750,2158340,-181250,0.0,0.0,37.0242214532872,5.88235294117647,12.45674740484429,0.0,6.920415224913495,7.612456747404845,0.0,30.103806228373703,0.0,0.0
