,HISTO_0,HISTO_1,HISTO_5,HISTO_6,HISTO_8,HISTO_10,HISTO_14,HISTO_15,HISTO_16,HISTO_17,HISTO_18,Vmax,nightlight_prev,outage,Rainfall
2,0.0,0.0,67.27941176470588,0.0,0.0,0.0,0.0,0.0,0.0,7.352941176470589,13.602941176470587,35.812063716784884,1.15,21.7391304347826,43.50561
5,0.0,0.0,45.588235294117645,0.0,0.0,0.0,0.0,0.0,0.0,16.544117647058822,7.720588235294118,35.91060698907596,4.83694570983914,48.314491210546564,43.50561
6,0.0,0.0,1.384083044982699,0.0,0.0,0.0,0.0,0.0,0.0,4.498269896193772,7.958477508650519,35.91240742072888,6.5,61.53846153846154,43.50561
7,0.0,0.0,8.203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.4375,35.73865623067435,0.85322520738865,26.937531743396132,43.50561
9,0.0,0.0,92.64705882352942,7.352941176470589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.83456256956816,0.760320265509184,73.36482480995979,43.50561
10,0.0,0.0,97.265625,2.734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.836378992121915,1.0,15.000000000000002,43.50561
12,0.0,0.0,91.17647058823529,0.0,0.0,0.0,0.0,0.0,0.0,8.823529411764707,0.0,35.84004022957201,1.34784211927606,56.10460596859108,43.50561
13,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.93510363441258,4.6,47.826086956521735,43.50561
14,0.0,0.0,18.014705882352942,0.0,0.0,0.0,3.308823529411765,0.0,0.0,22.426470588235293,10.661764705882353,35.936959582503015,5.59465415970357,56.166187418782165,43.50561
15,0.0,0.0,19.72318339100346,4.1522491349480966,0.0,0.0,0.0,0.0,0.0,5.190311418685121,25.951557093425603,35.669485852370215,1.22410480596227,18.307648566586657,16.983023
17,0.0,0.0,78.54671280276817,21.10726643598616,0.0,0.0,0.0,0.0,0.0,0.34602076124567477,0.0,35.76459806390489,0.586430026296083,7.661211846989479,43.50561
18,0.0,0.0,85.81314878892734,14.186851211072666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.858778229124795,0.65,100.0,43.50561
19,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.86064886140235,0.7,100.0,43.50561
20,0.0,0.0,97.23183391003461,2.768166089965398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.862529145581824,0.827858304584272,72.5749005461663,43.50561
21,0.0,0.0,76.8166089965398,23.18339100346021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.86441928410871,0.95,89.47368421052632,43.50561
